,text
25,"Well, it’s not good for them and in a dozen different ways. Wages are part of it, but they are only part of it. It’s about unsafe working conditions, for example. If you can hire somebody for cash and not meet current labor standards on safety, that someone needs a safety belt or needs training to go up high on a building, you not only put that person at risk, you reward employers who continue not to follow the law and to undermine safety standards for everyone."
26,KK: But do you know of any specific evidence that immigrants drive down wages?
27,No. I thought you were talking about undocumented workers.
28,"KK: Yes, I am, undocumented immigrants, excuse me."
29,"So whenever people are being paid outside the legal system, it undercuts protection for everyone and gives an advantage to the employers who move outside the legal system. You know, look, it’s part of the same basic principle. Everybody should follow the same set of rules. And if our labor standards are there’s a $15-an-hour minimum wage, then everybody should pay it. If the labor standards are that you don’t get to put somebody up working in an elevator shaft who has no training, then every employer should have to follow that. And any time an employer can get the work done by not following the rules, that employer gets an unfair advantage, and that unfair advantage undercuts the strength of everybody who follows the rules, undercuts the economy, undercuts workers."
30,KK: We have some foreign policy questions for you.
31,"Serge Schmemann: Let me ask you about the Middle East. In the October debate you said, “I think we ought to get out of the Middle East. I don’t think we should have troops in the Middle East.” Did you mean nowhere in the Middle East? Do you think — for example, who should control the Persian Gulf, freedom of navigation, should we close down the air base in Qatar?"
32,"I think we need to get our combat troops out. I don’t think that combat is advancing the interests of the United States in the Middle East, and it’s time to end combat operations. Of course we’ll have a continuing presence in the Middle East. We have interests in the Middle East with our allies. We have interests in the Middle East and keeping shipping lanes open, and we will continue to have a presence there, but I don’t think combat troops are how we best advance that presence."
33,"After Senator Warren said during the October debate that the United States should “get out of the Middle East,” her campaign clarified that she was referring just to combat troops. Noncombat troops have long been stationed in the region for a variety of reasons including ensuring a free flow of oil. "
34,"SS: So you mean getting rid of the combat troops there now, or preclude sending any combat troops there in the future?"
35,"Well, I would take the combat troops out of there now. I see no immediate reason we’d send combat troops into the region, but I’d get the combat troops that are there now out."
36,John Broder: We have combat troops in Syria now fighting ISIS. Yes we do. JB: And you would bring them all home?
39,Yeah. I think we need to bring our combat troops home.
40,"United States troops have recently resumed counterterrorism operations in Syria, suggesting that President Trump intends to leave most of the 500 troops currently stationed there (many of them in combat). Mr. Trump has been inconsistent in his strategy on troops in Syria; Senator Warren has been firm in her stance that all combat troops should come home. JB: And leave the Kurds to their fate?"
42,"Look, we can work — and this is what we should have done. We should have been pushing for negotiations with Turkey, with our allies, in order to protect the Kurds. And we could do that or could have done this as part of withdrawal. We could use economic pressure, we can use diplomatic pressure. We can use coalescing with our allies in order to bring pressure to protect the Kurds, and I think that’s what we should have done. We’ve already abandoned the Kurds in the worst possible way and sent a huge signal to the rest of the world that the United States, at least under the Trump administration, is not a reliable ally."
43,KK: Do you feel comfortable with there still being nuclear weapons in Turkey?
44,"Look, I have argued for a long time that we need not to expand our nuclear arsenal, and that is the direction the Trump administration has been taking us."
45,"Last year, Senator Warren introduced a bill called the No First Use Act, which would declare that the United States would never be the first to use a nuclear weapon. Opponents say it could drive arms races in smaller countries that depend on America for protection. "
46,KK: But this isn’t expanding the arsenal at all. These are existing weapons that may or may not be in southern Turkey.
47,"And I think right now, the push should be not to expand because that’s the issue that’s on the table."
48,Alex Kingsbury: The Trump administration has made an effort to get Europeans to pay more for their own defense as being part of NATO. Is that a goal that you support even if you don’t support the way he’s going about it? And how might you achieve those goals?
49,"NATO members agreed, in 2014, to a goal of spending 2 percent of their G.D.P. on defense, but in 2017 the only countries to meet that goal were America, Britain, Greece, Poland and Estonia. Mr. Trump chastised fellow member states at a 2017 summit, declaring that “23 of the 28 member nations are still not paying what they should.”"
50,"Yes. I do think that the Europeans need to bear a significant share of the cost of defense of Europe. I don’t think that hectoring or embarrassing them is a way to get there. I think we get there by talking about the ways that work best for them on the ground, but I do think it’s important. It’s an important partnership, and it should be a partnership."
51,"Since scolding member nations at the 2017 summit, Mr. Trump has followed up with strongly worded letters to NATO nations advising that if they don’t increase their payments, it will be increasingly hard to justify why “American soldiers continue to sacrifice their lives overseas.”"
52,"AK: But the Obama administration tried, past presidents have tried — how would you do it?"
53,"Mr. Trump isn’t the first to mount a pressure campaign on NATO member states to increase their contributions. President Bush used a summit in Latvia in 2006 to urge other nations to raise their military spending, and President Obama echoed the plea at a 2014 conference in Brussels. Mr. Trump, though, has made spending levels a more central issue."
54,"Well, I think part of it is how much you’re willing to do two things: how much you are willing to push and how much you’re willing to be creative about the various ways in which it’s done. You know, we did the same thing in Asia with South Korea, with Japan, about which costs the South Koreans pick up and which costs the Americans pick up. The cost of moving, the cost of consolidating the land, the cost of maintaining security around the perimeter. There are a lot of different ways that we can do this, and I think we should be doing this much more in partnership. I think hectoring them and putting their leaders in an embarrassing position domestically, for each of them, do you cave in to the United States president who is trying to throw his weight around by picking up a bigger share of the defense budget? I don’t think that’s a way to further success in this area."
55,"America regularly renegotiates its defense cost-sharing agreements with host countries. In November, Mr. Trump asked Japan to quadruple its payments for the American troop presence."
56,    Watch a special endorsement episode of “The Weekly”     FX Hulu
58,          This video excerpt has been edited by “The Weekly.”         
60,"James Dao: Moving from Europe to Asia, if China were to send troops, massive numbers of troops into Hong Kong, and impose a violent crackdown there similar to Tiananmen Square in 1989, what would you do as president?"
61,"A recent op-ed in The Times argued that Carrie Lam’s decision to characterize the Hong Kong protests as a “riot” echoed a moment in 1989 when The People’s Daily, the newspaper of the Chinese Communist Party, referred to a gathering of students in Tiananmen Square as “turmoil.” Protesters in Hong Kong demanded that the term “riot” be retracted."
62,"You know, this is a hard hypothetical to take on until you actually know what’s happening. Again, you’ve got to back this one up on where we should have started. When the unrest first started unfolding in Hong Kong, for Donald Trump to step back and say in effect, gee, I think China’s going to crack down on Hong Kong, and effectively inviting it, I think is the wrong place for the United States to be. I think that we should have been in a position from the beginning, saying to China, we support these efforts in Hong Kong. That’s part one. "
63,"Part two is again, we should be working more with our allies. Donald Trump seems to think somehow that we are stronger alone and I think that’s fundamentally wrong. If you want to bring economic pressure on China, if you want to bring diplomatic pressure on China, it makes a lot more sense to do that if we’re doing it with our allies, if we’re doing it in conjunction with others. And I think that provides potentially much better protection for Hong Kong. The idea that this is going to be a direct military conflict between China and the United States, that would be deeply destabilizing to the entire world. So I want to see us use our diplomatic tools. I want to see us use our economic tools, and I want to see us leverage everything that we want to do by working much more tightly in conjunction with our allies. We just haven’t been doing that. None of the above."
64,"Senator Warren visited Beijing in 2018, as Mr. Trump was waging a tariff war on China. She criticized his “chaotic” foreign policy, while arguing that America cannot support an economic system more integrated with China’s while it “fails to respect basic human rights.”"
65,"SS: Well, speaking of using leverage, you’ve argued that nations that want to trade with the United States should be held to higher standards. Yeah."
67,"SS: The Obama administration tried that, Trump administration tried that in different ways, but no results. What kind of leverage would you use? What would you do?"
68,"Well, I’m not sure I accept the premise of the question, that they actually tried what I was talking about. Look, our No. 1 leverage is everybody wants the American consumer. They want access to the American consumer. They want to be able to sell us all of their stuff because the American consumer is not only the engine of about 70 percent of our economy; it’s a worldwide engine. So I think it’s perfectly reasonable to say, if you want to be able to trade with United States on the best possible terms, then everybody needs to raise their standards just a little. Who wants to do that?"
69,"Mr. Trump has unsettled markets with trade threats aimed at China, which The Times has editorialized against. He famously boasted “Trade wars are good, and easy to win.” But a recent Axios report noted that China’s exports to the United States dropped 23.1 percent this year."
70,"And you may start out with modest increments and increase them over time, but there’s no reason that we should be treating a country that is producing goods through prison labor or child labor or unsafe working standards or by polluting the earth, that we should treat a country that produces goods in that way the same way we’re treating a country that produces goods with standards that are much closer to ours. We simply put our own businesses and our own workers at a competitive disadvantage, so we end up doing things like exporting pollution. Can’t pollute here in the United States, but move this polluting industry. This way that you’re going to paint dolls or produce chips, move it somewhere else where they have no environmental standards and then resell, and then sell those goods back in the United States. Binyamin Appelbaum: Would you reduce existing — We just undercut ourselves when we do that."
73,BA: Would you reduce existing access in order to achieve that goal? Yeah.
75,BA: So you’d put tariffs on existing foreign imports?
76,"It’s that you don’t get the tariff benefit. This is what it’s really about. Where’s the baseline? Right? And is the baseline one that says, across the board, you’ve got to give plenty of notice. You’ve got to work through, make sure you’ve got something that’s achievable for countries we trade with. But this is not like trying to institute a trade war. This is not like saying we’re mad at you and therefore we’re going to impose all these tariffs on you, and doing it as Donald Trump has done by tweet. "
77,"But it’s to work with nations and say, you want access to the American consumer, you’ve got to start raising your standards in a meaningful way. And here’s where the long-term goals are, here’s where you are, here’s what constitutes moving toward those. And I think that’s where a lot of folks would like to go, and frankly we should be working with other nations on helping, not just those who lag way behind, but those who have good standards to be using the same kind of approach to trade. The idea that trade is just about tariffs is just old 20th century. Trade today in the 21st century is about regulation. It’s about who’s going to have to meet what regulatory standards."
78,"Senator Warren’s plan on trade, released in July, would change American trade policy by pushing the country’s trade partners to abide by higher labor and environmental standards. Under her plan, more representatives from labor, environmental and consumer groups would be involved in trade negotiations, and the process would be more transparent through public disclosure of draft agreements."
79,"Whether we’re talking about workers or we’re talking about the environment, who has to meet what standards? And there are big corporations who figured out how to game the system. Where standards are high, then move that part of the operation somewhere else where standards are low and save a nickel. Because these corporations, they don’t have any loyalty to a country, they just have loyalty to their own bottom line. And they play this all around the world."
80,BA: Are tariffs the leverage that you use to secure those types — 
81,"Tariffs are one of the tools. Economic agreements across countries, that many countries join together, and say, we’re not going to let anyone import if they’re using prison labor, for example, or if they’re dumping dangerous chemicals into the water. There are lots of ways to do this, but we can’t simply think of this as a tariff, no tariff protectionism barrier. It’s not. It’s about regulations. Look at the dang NAFTA 2.0, look at what we were negotiating for T.T.I.P. T.T.I.P. was about financial regulations, not about goods that were moving, in a sense, the old way that people think about, that you put a bunch of stuff on a barge and you ship it across the Atlantic Ocean. And we just need to tune into the fact we know what our advantage is and we need to use it, not to try to lock others out, but to try to encourage others to come in."
82,Nick Fox: What did you think of the standards in the Trans-Pacific deal?
83,"I disagreed with them. So for example, the Trans-Pacific Partnership had a robust investor state dispute resolution mechanism, which multiple of our trade treaties have had for decades now. And I just think that’s fundamentally wrong. It’s a two-tier system that says, in effect, we’ll make a bunch of promises in a trade deal on the environment, on use of prison labor, child labor and on anything else, and then we’ll give two entirely different enforcement mechanisms. "
84,"Senator Warren published an op-ed in The Washington Post in 2015 attacking the investor-state dispute settlement clause in the Trans-Pacific Partnership agreement, which she argued “would tilt the playing field in the United States further in favor of big multinational corporations.”"
85,"If you are a giant multinational corporation and any regulation comes along that you don’t like, the local country raises the minimum — we’ve actually seen this — raises its environmental standards, you get to sue them to get them to drop those standards. And who will your case be heard by? It’ll be heard by a handful of corporate lawyers, who when they’re not sitting on this arbitration panel are working for big law firms that are doing work for you or other multinational corporations like you. That’s one set of how the path will run. "
86,"But the other half, let’s say you have a complaint because the trade agreement had said that some other country would permit unionization or would not use low-wage workers beyond a certain point. Do you get a path like that? A quick resolution? And by the way, I should point out: That quick resolution? There’s no appeal from it. It is immediately enforceable against a government. So you can go straight against Canada for raising its environmental standards. You can go straight against a South American country for raising its standards to protect its children’s health from smoking. "
87,"But if your complaint is a labor complaint, that is, gee, here I am in America and I’m trying to compete against workers in a foreign country who are getting paid a dollar a day. What’s your path? Well, first you’ve got to go to the U.S. government and persuade the U.S. government that they should go after this country, for which we know what has happened. U.S. government has repeatedly — and this is not just by — well, yeah, we get your point. "
88,"But on the other hand, we have other diplomatic initiatives and it’s really important that we’re trying to work with this country, and they’re important to us strategically for this reason and we have this ongoing negotiation in that political thing. Drag your heels, drag your heels, drag your heels, until the jobs have disappeared here. And then once you go forward, you’ve got to go forward through a different kind of court that’s much slower. "
89,"So the effect is that the promises that are put into trade agreements like T.P.P., they may all look the same on paper, but man, they are nowhere close to each other in terms of what happens with enforcement. Multinational corporations are given the opportunity basically to opt out of laws they don’t like, where protections that are supposed to be written for our workers, for the worldwide environment, for human rights standards, just get left by the curb. KK: Senator, I think we need to move on."
91,"Charlie Warzel: Senator, how do you first campaign in and then govern a country as polarized as the one that we’re living in right now? Because this doesn’t feel like a disagreement on a few policies. This is a situation where the cost of letting the other side wins seems almost too much to bear for the other side. And if you look at impeachment, you see politicians literally inventing alternate realities rather than compromise or disparage a party leader. How do you realistically navigate that and get things done? Because it doesn’t feel like a divide that you can heal away."
92,"I think you’re overlooking the places where we’re not divided. I have three brothers back in Oklahoma. One is a Democrat. Do the math, the other two are not. And yet, all three of my brothers and tens of millions of people around this country get furious over the fact that Amazon reports $11 billion in profits last year and paid zero in taxes. All three of my brothers understand that we have an America that works great for giant drug companies, just not for people trying to fill a prescription. Works great for oil companies that want to drill everywhere, just not for people who are worried about climate change."
93,"So the way I see this is I think the old left-right division, yeah, there’s a lot of that. But I think there’s a very different division in America, and that is an America that’s working for a thinner and thinner slice at the top and not working for much of anyone else. And there are a lot of Democrats, a lot of independents and a lot of Republicans who see that. "
94,"In fact, let me quote you a New York Times article from just last week that I thought was terrific, and that’s about a 2-cent wealth tax and how it is popular across political lines and it’s popular, why? Because most of America gets that they’re getting cheated in this game, and you get that wherever you are on that income scale until you get up to the very top."
95,"Times reporting from Ben Casselman and Jim Tankersley found that Senator Warren’s wealth tax plan has broad support, including from 77 percent of Democrats and 57 percent of Republicans, with the exception of one demographic: Republican men with college degrees."
96,"CW: Is that enough to bridge the systems, the ecosystems of misinformation, hyper-partisanship, things that are ——"
97,"KK: Yes, and even more practically, is it enough to get anything passed in Mitch McConnell’s Senate?"
98,"So let me do both of these, because I think there are two answers. There are two pieces in this answer. One is, I think attacking the corruption in Washington brings a lot more people together than most folks recognize, and that it really does reach across party lines. "
99,"Fighting corruption is, indeed, an issue with cross-party support. In an NBC News/Wall Street Journal poll last year, people ranked as the country’s second most important issue “reducing the influence of special interests and corruption in Washington.”"
100,"The way I think we get something done in Washington, it’s the Frances Perkins story. It’s not enough to organize on the outside and have the marches in the street. Before the Triangle shirtwaist factory fire, there had been dozens of marches, right? Lots of high profile. But the guys who ran the factories figured out it was a lot cheaper just to grease palms in Albany than it was to actually change their practices and put up adequate fire escapes and fire preventive measures. So just pushing from the outside, it’s not enough to get it done. Just fighting it from the inside is not enough to get it done. But the one-two punch of pushing from the outside and leading it from the inside is where you see real difference."
101,"Look what Frances Perkins got accomplished, first in Albany, but then when she went down to Washington. So here’s a woman, she goes to Albany at a time when women don’t even have the vote and gets herself appointed the head of a fire commission. And by the way, every time you see one of those lit-up fire exit signs, thank Frances Perkins, O.K.? But she not only does that, she then immediately expands it into labor law and workers and worker safety and worker protection overall. As you know, she then goes down to Washington, becomes the first woman cabinet official, and look at what she gets done in a short period of time. Social security, minimum wage, right to join a union, end of child labor, the weekend, my personal favorite [LAUGHTER], that Saturdays and Sundays are not treated like Mondays, Tuesdays, Wednesdays, Thursdays and Fridays. But think about it that way. So we start with the corruption. That’s what Perkins started with. She started by outing the corruption."
102,"Senator Warren frequently refers to Frances Perkins, who was Franklin Roosevelt’s labor secretary. In The Atlantic, the former Obama speechwriter Susannah Jacob wrote that Senator Warren’s campaign slogan “Dream big, fight hard” echoes a sentence in Ms. Perkins’s memoir, in which she wrote that her “heart sank” when President Roosevelt questioned the public works program, because Ms. Perkins realized “we must fight hard now.”"
103,Brent Staples: But she needed the Triangle Shirtwaist fire. What is the contemporary equivalent of the Shirtwaist fire?
104,"Well, I’ll start with 43 million Americans who are dealing with student loan debt. And not all of them are having trouble, but a whole, whole bunch of them are. Or how about the parents of 12 million children who are struggling to find child care? And I’m not just talking about one narrow slice. I’m talking about a whole bunch of parents across a wide range of ZIP codes and income categories who are struggling. I’m talking about the 36 million Americans last year who didn’t have prescriptions filled because they simply couldn’t afford it. Or the 35 million Americans who didn’t go have a lump checked out at the doctor, or some other medical condition, because they were afraid they couldn’t afford the — and these are people, most of them, many of them, with insurance, right? Couldn’t afford the co-pay, couldn’t afford the deductible. I think people are feeling this in their lives right now. And what is the spark, which is what I hear your question to be? It’s you show them a path out. It doesn’t have to be this way. Can I just say, the first time I think I came to The New York Times was during the financial crisis."
105,"Times columnist David Brooks noted in “The Road to Character” that Ms. Perkins discovered her calling to service and organizing after witnessing the 1911 Triangle Shirtwaist fire. The analogy to something like the student loan debt crisis or child care, of course, isn’t perfect — the debt crisis, for instance, has been slow burning as tuition rates have risen far above the inflation rate since the 1970s. BS: It was."
107,"And I came here to talk with you all about the Consumer Financial Protection Bureau. And the very short version of this story is I went around Washington talking to people about how, do not in this crisis, simply outlaw the practices that were bad, that were used on the mortgages, that are used on credit cards, because they’ll be like fence posts on the prairie with nothing strong in between. And it’ll take the banks and Wall Street about three minutes to figure out how to run around them by redescribing their product or slightly reinventing their product. I think you’ve got to have an agency that when Wall Street moves, the agency can move. That’s how financial crises — it’s the only way we’re going to make this work. "
108,"I went to Washington. I came here to New York to talk to people about the idea for the Consumer Financial Protection Bureau, and I heard two things over and over and over. Part one, that’s a great idea. It would actually make a real difference. That would be structural change, or as I now say, big structural change, in financial services. And part two, don’t even try, because you’ll be up against the big banks. You’ll be up against Wall Street. You’ll be up against all of the Republicans. You’ll be up against half the Democrats. You’ll never get it done. But we did get it done."
109,"Senator Warren, then a Harvard professor, first introduced the idea of a Consumer Financial Protection Bureau in a 2007 paper in the journal Democracy. President Obama assigned her to build the agency after the 2008 financial crisis. BS: Well, you had your fire. Exactly. No, I get — BS: You had your fire. Exactly right. BS: You had the crash."
115,"We had a fire, and the fire there was millions of people who lost their homes, but the fire by itself doesn’t get it done. The fire by itself wasn’t enough. You had to be ready with the big structural change and had to have somebody from the inside who would fight for it."
116,"About 10 million Americans lost their homes to foreclosure sales between 2006 and 2014, the effects of the subprime mortgage crisis."
117,"BS: Just to tie in with Charlie here, let’s just take the prescription problem. Sure."
119,"BS: Right. You have a lot of people in this country who actually, if you asked them about Obamacare, they hate it. These are the same people who are being wounded by the constant diminution of medical care under the Trump administration. How do you convince those people? That’s the issue, because he’s talking about fake news and disbelief. We had the whole discussion about “death committees.”"
120,"In 2009, when the Affordable Care Act was being written, Sarah Palin popularized the phrase “Obama’s ‘death panel,’” which became a rallying cry for the Tea Party.  “Death panels.”"
122,"BS: You speak of these people standing around at rallies, are a lot of these people you’re talking about. A lot of people standing around at Trump rallies are the very people you’re talking about."
123,"I said there were going to be two parts to this. So I’ve done part one about the inside/outside theory of change, but the second part, that’s why we’ve got to do this through grass roots movement. We cannot do this through television commercials. If winning the presidency, and I’ll speak only to the Democratic side, is about who comes in, and oh, let’s see, drops $37 million in one week on TV ads, and that’s what it takes to win a Democratic primary, then we have a democracy that’s just our TV ads versus their TV ads, and at that point, they’re fake news. They claim ours is fake news, right? Everybody just gets farther and farther and farther into their corners."
124,"Since entering the Democratic race in November, former New York Mayor Mike Bloomberg has outspent almost all of his opponents in TV advertisements, spending over $100 million in just the first month."
125,"The importance of a grass-roots movement is there is one thing that beats fake news, and actually the data showed this, and that’s somebody you know. It’s somebody who actually talks to you. It’s somebody who does the face to face. It’s somebody who reaches out. It’s somebody who knocks on your door. It’s your neighbor. It’s the person who talks to you in line at the grocery store. That’s part of it. It’s why you have to build — when I did inside/outside, it’s also about the importance of building grass roots, building it from the ground up. It’s why I made the decisions I made in running for president right from the beginning, which we can talk about in a minute. But for me, that’s at the heart of it, and then there’s a second part. I’ll push first to get the anti-corruption bill through. I’ll push to deliver on a meaningful anti-corruption deal. I think you can get a lot of people on board for that, Democrats and Republicans to push for it. I dare you to vote against it, right? That is a fight I will have, and it will be a fight."
126,"Senator Warren introduced the Anti-Corruption and Public Integrity Act in August 2018, which includes provisions to block government officials from becoming lobbyists, bar federal judges from owning stocks and more, all to be overseen by a new Office of Public Integrity. Much of what’s outlined in that bill made its way into Senator Warren’s campaign plan to end Washington corruption."
127,"KK: Well, it has to come to the Senate floor. I mean, Mitch McConnell already has an anti-corruption, election reform bill [passed by the House]."
128,"The House of Representatives passed H.R. 1, to strengthen voting rights and ethics provisions, in March 2019 and sent it to the Senate. It is now awaiting a vote there."
129,I’m sorry. And who’s fighting Mitch McConnell right now and from what platform?
130,"An Elizabeth Warren fan brought a miniature of the candidate to an event in Rye, N.H. Elizabeth Frantz for The New York Times"
132,"KK: Well, the House Democrats are fighting Mitch McConnell. [WARREN APPEARS UNIMPRESSED] Michelle Cottle: So here’s a question about ——"
134,"But let me finish my point. If you fight on ground where I think you’ve got lots of bipartisan support and you lead a damn fight — and then — just — if you can deliver a 2-cent wealth tax, which has wide popularity, when I get to sign the piece of paper that cancels student loan debt for 43 million Americans, that’s Democrats and Republicans. I think at that moment, the world starts to shift. I think at that moment, a whole generation of people who have only seen the government as debt collector starts to shift. Will we get 100 percent of the folks on board? No. But will we get a lot more? Will we begin to talk about a democracy that doesn’t just work increasingly for a thinner and thinner slice of the top, or will we start to talk about a democracy that works for all of us? That 2-cent wealth tax is about child care. It’s about things that touch people’s lives. It’s about universal pre-K for 3-year-olds and 4-year-olds. It’s about a $50 billion investment in historically black colleges and universities, tuition-free. Technical school, two-year college, four-year college. You just deliver on something that matters to people. Now they’ve got a stake in democracy. It feels like it pays off, that it’s not just marching in the street over and over and over, and the next day you wake up and it’s a little bit worse than it was today. This is our chance to turn that one around."
135,A nationwide poll conducted by SurveyMonkey for The New York Times found that six in 10 Americans support a wealth tax. The slice of the electorate least likely to support it is Republican men with college degrees.
136,"MC: So as you’re out there trying to convince people to join you on this mission, at certain times, and certainly in the debates it’s come up that people who do not embrace your path lack the political courage or will, or they’re scared, as you’ve said, to embrace big change. Now, certainly this will appeal to a lot of Democratic voters, but there are also a lot of more moderate swing voters, Democratic voters who will be put off by the idea that just because they don’t embrace your particular policies, they somehow are not courageous or that they’re wrong in their ideas. So how do you reach out to these people, because you can’t win the nomination just with the progressive base. You’ve got to kind of convince these people who are nervous about the big ideas. For instance, “Medicare for all” that you’re pitching is not a overwhelmingly popular idea."
137,"When told that former Vice President Biden criticized her health care plans, Senator Warren answered with a critique of moderate Democrats: “Democrats are not going to win by repeating Republican talking points and by dusting off the points of view of the giant insurance companies and the giant drug companies.” She also suggested Mr. Biden is “running in the wrong primary.”"
138,"Actually, I don’t think of what I say that way. What I think of is the leadership possibilities that the candidates for president are offering. I don’t know anybody who sits around and says, “I want to make peace with corruption.” I don’t know where those people are in America who think it’s O.K. that Amazon makes $11 billion and pays nothing in taxes. I haven’t seen those people. Now, maybe they just stay away from me, but I don’t think so. I think —"
139,"MC: But with particular policies, like not everybody’s going to be down with banning fracking altogether, especially in the state of Pennsylvania."
140,Roughly 50 percent of Pennsylvania’s population supports the fracking industry. I understand.
142,"MC: Not everybody likes “Medicare for all,” where you do away with private health care. Not everybody is going to appreciate if you’ve suggested that the candidate that they happen to back now is in the wrong primary. I’m just saying these things will come back as you have to win voters in swing states, things like that."
143,"The Kaiser Family Foundation’s Health Care Tracking Poll has found a decline in public support for “Medicare for all” since the start of the year. Now roughly 51 percent of American adults are in favor of a single-payer system and 47 percent are opposed, whereas earlier this year 57 percent backed it and 37 percent were opposed."
144,"So the way I see this is all I can do is get out and tell you what I’ll fight for, and I’ll point out the difference between the two. I try not to get over my skis. No, I do. I’ve really tried hard not to be personally critical of other candidates. I got a little heated once, but once, and because I think this is the fundamental question. Do you think that this democracy, do you think that this economy, do you think this government is going to make it if all we’re offering are little nibbles around the edges?"
145,"When Senator Warren suggested that Vice President Biden is “running in the wrong primary,” he responded in a Medium post that called such attacks “condescending to the millions of Democrats who have a different view.”"
146,"JI: I want to just pivot very quickly to health care. It seemed like a good moment. With respect to what you will fight for, can you talk a little bit about “Medicare for all” and where it ranks in terms of your priorities, and then to kind of sort of reiterate the question, how do you convince people who are wary of massive health care overhaul yet again that that’s the right approach to that problem basically?"
147,"So I start with trying to understand the problem, what it means that tens of millions of people don’t have prescriptions filled, don’t go to the doctor. People with health insurance who are being sued by their hospitals for medical bills. I think of this as offering the most help to the greatest number of people as quickly as possible. So in terms of priorities, day one, there’s a lot a president could do all by herself, and I’ll do it. "
148,Ms. Warren was likely referring to reporting by Sarah Kliff in The Times in November chronicling a rise in hospitals’ suing patients over overdue bills.
