,text
32,"I remember how much trouble Barack got in when he said that parents, black parents, should take responsibility. That wasn’t my point. My point was to make it clear that there are a number of things we can do now to help parents who have been disadvantaged as a consequence of lack of opportunity to be able to provide more guidance and better guidance for themselves and their families. For example, we have one school psychologist for every 1,507 kids in public schools. It’s ridiculous. It’s ridiculous. We have virtually no social workers engaged anymore."
33,Mr. Obama drew ire for a June 2008 speech at a black church in Chicago that invoked his own absent father to tell African-American men that “responsibility does not end at conception.”
34,"What I found was that if, in fact, the people — if I can make an analogy to my father. My father was a well-read, high-school-educated guy, and I had an opportunity to go to different schools and offered some scholarships, some academic, some relating to playing sports. And my dad was one of those guys who said, “You’re going to be a college man, no matter what.” "
35,"Mr. Biden grew up in a middle-class family in Scranton, Pa., and Wilmington, Del. During the 2008 campaign, he often described his resilient father, Joseph Robinette Biden Sr., as his most important influence in life."
36,"I used to say to him, “Why is that so important, Dad?” He said, “They can’t take it from you.” And so when I had an opportunity to visit campuses, I was surprised my father didn’t want to go. I asked my mom, “Why wouldn’t Dad go on campus? He’s been talking about this as long as I can remember.” She said: “Because he’s embarrassed. He won’t know what to say. He’s embarrassed. What happens if someone turns to him and says, ‘What about this or that or the other thing?’” "
37,"My wife has taught for the last — my deceased wife taught grade school. My present wife of 47 years now has taught in high school and grade school, I mean, junior high, high school, and now she’s a college professor, a community college professor. And the people who don’t show up on the nights when there’s a parent-teacher meeting are not people who in fact don’t care, but folks from poor backgrounds. They don’t show up because they’re embarrassed. They’re embarrassed the teacher’s going to say — and it’s hard to say, “Well, I can’t read,” or “I don’t …”"
38,"Mr. Biden lost his first wife, Neilia, and their daughter in a car accident in 1972."
39,"I’m talking about not just people of color, but poor folks. And so there’s this about being able to give people a kind of help they desperately want without being embarrassed in getting the help, without being embarrassed that they’re seeking the help. Iowans at a campaign event for Joe Biden. Jordan Gale for The New York Times"
42,"Jesse Wegman: Or they’re working a second job, right?"
43,"Well, yeah. Well, that’s true, but there’s also a good deal of it, and check with the educators, there’s a good deal is they just don’t know what to say many of them. They don’t show up. So that’s why my wife started this mentoring program, and she, in fact, works with those families, calls them privately and says, “Look, this is your son or your daughter, or blah, blah, blah. This is how we can be helpful this way,” embracing people. A lot has to do with, you know, we underestimate, I think, across the board, the degree of pride people have, their pride. They just want to be treated with some dignity and a lot of it doesn’t."
44,"MG: Mr. Vice President, former Mayor Michael Bloomberg has apologized for his record on stop-and-frisk and the decisions that he made in that policy. Just asking for a little bit of self-reflection here. Is there anything that you have changed your mind about, specifically related I would say to your record, or your thinking, your personal views, on race or busing or anything over the years?"
45,"Ms. Gay wrote an Editorial Observer after Mayor Bloomberg apologized for his record on stop-and-frisk, which led to the humiliation and harassment of millions of black and Latino New Yorkers. Ms. Gay wrote, “The lure of the White House can make Americans do extraordinary things.”"
46,"No, not on race or busing because I think you’ve all been kind of shocked how much black support I have. Overwhelming black support in my home state. Overwhelming black support with the Black Caucus. Overwhelming black support with the black community because they know me. I’ve never been ashamed of anything I’ve done. I’ve fought for the African-American community and fought for them my entire career."
47,"I made a big mistake in the criminal justice side when I — it’s easy to forget it now — but when, all of a sudden, crack was introduced as a great threat to the United States of America. And the guy who did it is a great guy, Daniel Patrick Moynihan, he pointed out it was coming from the Bahamas, and this was going to — "
48,"To clarify, Senator Moynihan did not introduce crack to the United States. He wrote a report, in 1965, titled “The Negro Family: The Case for National Action,” also known as the Moynihan Report. In it, he argued that black families had been “battered and harassed by discrimination, injustice, and uprooting” and were in a state of crisis. Because the report made no formal policy recommendations, it was widely misunderstood to put blame on black families themselves, rather than broader systems of racial discrimination. (Updated) Representative Tom Malinowski, Democrat from New Jersey, told The Times that when he worked for him in 1988, Mr. Moynihan “proselytized senators that year about how the crack epidemic was devastating low-income communities,” serving as a proponent of the antidrug legislation passed that session."
49,"And you had medical folks at the time saying, well, crack, because it immediately penetrates the membrane of the brain and it goes straight to the brain, it’s going to have this long-term effect. So we bought on to the idea that crack somehow should be punished much more significantly than, in fact, powdered cocaine. Well, what it meant was somebody snorting powder in the party you guys go to. "
50,"I don’t mean you. [LAUGHTER] But wealthy neighborhoods, wealthy neighborhoods. If they were to get arrested, which they don’t in the first place, but if they get arrested, they get a sentence that’s 100 times less than someone is getting convicted of crack. You buy a nickel, anyway. And so from the time we passed that, two years after, I’ve been trying to change it and have been unable to do it. Barack and I got it down to 10 to one from a hundred to one. It should be zero."
51,"The Fair Sentencing Act of 2010 reduced the sentencing disparity between crack and powdered cocaine. However, Mr. Biden also helped to draft the bipartisan legislation that created that sentencing disparity during the Reagan administration."
52,"But it’s put a lot of people in jeopardy, put them in jail, and it’s had a disproportionate impact on minority communities, particularly African-American communities. I sorely regret that. We’ve also learned a lot more about drug abuse overall. It used to be that we thought — I’ve spent a lot of my career in the Judiciary Committee dealing with this issue. We used to argue — and you tell me when I’m going longer than I should — we used to deal with it in terms of we thought that mental illness was a product of drug abuse. It’s the reverse. Mental illness is the reason for drug abuse. It’s not the reverse. And that’s why, when I wrote the crime bill that everybody for a while there thought that was a massive reason for massive incarceration, which it wasn’t, I might add. But what happened was I put in that bill, at the time, drug courts to try to divert anyone arrested for a drug offense to a drug court for rehab, not to go to jail."
53,"Jeneen Interlandi: Just a quick follow-up on that, sorry. Yeah, sure you can."
55,JI: But one of the things I had wanted to ask you about was you’ve called for rescheduling marijuana so that scientists can better study its therapeutic potential. Virtually all of your opponents have gone further and actually called for full legalization at the federal level.
56,"When asked about legalizing marijuana, Mr. Biden said the drug should first be further studied to ensure it isn’t a gateway drug. He then rolled back his comments to say he never claimed that pot is a gateway drug. They have."
58,JI: That’s something that most people support in both parties and across most demographics agreed on. Can you make the case to me for why to take the more moderate approach when it seems ——
59,Pew Research has found that two thirds of the country supports marijuana legalization.
60,"Because I think science matters. I mean one of the reasons I’m running against the guy I’m running against is science matters, not fiction. Now nobody says, I’m not arguing, and Senator Booker acknowledged, I wasn’t arguing that we should in fact, it was a gateway drug. What I’m arguing is there have been studies showing that it complicates other problems if you already have a problem with certain drugs. So we should just study it and decriminalize it, but study it and find out. Get the medical community to come up with a final definitive answer as to whether or not it does cause it. If it does cause other problems, then make it clear to people. So that’s a place you don’t not engage in the use of it."
61,"Marijuana is the most widely used psychotropic drug after alcohol. Some studies have found that regular marijuana usage is associated with mental illness (although causality has not been established), and many agree there should be further study of its medical effects. KK: But so many states have already legalized it."
63,"Thirty-three states have legalized marijuana in some form, according to the National Conference of State Legislators."
64,"Sure they have. I get that, but that doesn’t mean the science shouldn’t be looked at."
65,JI: Couldn’t you look at the science and legalize it at the federal level in tandem?
66,"No. Why would you promote the science if the science would say it’d be a bad idea to legalize it? You’ve got to find out the facts first. KK: O.K., moving on."
68,"But by the way, let’s get something straight here. I’ve argued for some time total decriminalization. Anyone who has a record, it should be immediately expunged. So when you come to work for The New York Times, and they ask you if you have any problems, any criminal arrests, you don’t have to say yes, because it will be completely expunged. And in fact, there should be anyone who is in fact, has been served any time in prison or is in prison, which a few people are these days, that they immediately be released, and the record totally expunged."
69,    Watch a special endorsement episode of “The Weekly”     FX Hulu
71,          This video excerpt has been edited by “The Weekly.”          Aisha Harris: Mr. Vice President. Yes.
75,"AH: You’ve expressed very little interest in entertaining millennials’ concerns and complaints about the problems that they face, whether it’s student debt [BIDEN LAUGHS] — well, you have said, “I have no empathy for it. Give me a break.” In terms of things that they’ve been concerned about, with the way in which the older generations have probably, older generations have made things worse for them as a generation. [BIDEN LAUGHS] "
76,"In an interview with The Los Angeles Times, Mr. Biden said that he often hears from “the younger generation” about “how tough things are.” He said: “I have no empathy for it. Give me a break. Because here’s the deal guys, we decided we were going to change the world. And we did. We did. We finished the civil rights movement in the first stage. The women’s movement came into being.”"
77,So do you think that millennials’ experience have less of a burden than previous years?
78,"What I said I had no sympathy about — so let’s get it straight, O.K.? What I said I had no sympathy about was I was asked the question about why — I made a commencement speech, I don’t know which one, either Yale or Harvard, back-to-back two years — and a study came out showing that, although this was the most generous, most progressive, most involved generation in history, the best educated, which I paid tribute to, because I have three granddaughters are all part of that. My daughter is a social worker with a master’s degree doing great work, et cetera. "
79,Mr. Biden gave the commencement speech at Yale in 2015.
80,"It also said that, I forget the — don’t hold me to the exact number, it was two years ago, three years ago, that something like only 16 percent of young millennials would in fact run for public office. And only 14 percent — it was a discrepancy of four points between women and men, but less than a quarter."
81,"In the book “Running for Office,” the authors, the political scientists Jennifer Lawless and Richard Fox, cite findings that 89 percent of American high school students feel they would never want to run for public office."
82,"So I was at a university and they said, “Well, why should we get involved? It’s all dirty.” I said, “I don’t want to hear it. Don’t whine to me. I got the same lecture in 1972 when I was in the middle of a — there was a Vietnam War — where I got the same thing, or was told in 1965 when I got involved in the civil rights movement: Don’t get involved, but you got to get involved."
83,AH: But you did double down on those comments this past summer.
84,"Sure I did. When they say to me, “I’m not going to get involved.” I said, “No, I don’t want to hear it. Get involved.”"
85,AH: But some could argue that you’re sort of painting a broad brush of the millennials. You have ——
86,"No, I’m not. I was answering questions. The question was, “Why should I get involved?” I said, “Because it’s your responsibility. You have a responsibility.”"
87,"AH: So do you think that this younger generation as a whole is not participating enough, and they don’t have the same burdens as previous generations?"
88,"No. What’s happening is it’s awakened now. The point I always make is if, in fact, the generation between 18 and 30 vote in the same percentage as above 30, there would have been 5.2 million more votes cast last year, and we wouldn’t have this president we have. We wouldn’t have him. They sat home, didn’t get involved."
89,"In the 2016 election, voter turnout among 18- to 29-year-olds was 46.1 percent according to the Census Bureau. Among people 65 and older, the turnout was 70.9 percent."
90,"Where I come from, you don’t say, “Well, that’s your choice. That’s O.K.” Don’t lecture me on responsibility — not you. Don’t have them lecture me on responsibility, and then not participate. When I got involved, it’s not a comparison, it’s just a generically comparable thing. When I got involved it was, like, drop out. Go to Haight-Ashbury. Don’t get involved. Literally across the board. You don’t trust anybody over 30. And all of a sudden things got so damn bad, a generation said, “Enough, enough,” and we got involved, and we ran."
91,"I ran in 1972, a kid with no background in terms of money or influence. I’m the first senator I ever knew, and in the state that was then, we didn’t call them red and blue, that was a red state."
92,"Mr. Biden ran for Senate as a 29-year-old county councilman, facing off against an older Republican incumbent, Cale Boggs. Mr. Biden’s ads portrayed Senator Boggs as out of touch with the concerns of his generation. One ad read: “To Cale Boggs, an unfair tax was the 1948 poll tax. To Joe Biden, an unfair tax is the 1972 income tax.” Each one ended with: “Joe Biden. He understands what’s happening today.” A Wilmington News Journal reporter at the time, Norm Lockman, called this the “dear old dad” approach, painting Senator Boggs as out of touch. Mr. Biden won by a little over 3,000 votes."
93,"Nixon got 64 percent of the vote in my state, and won by 3,200 votes. I went out, and we put together 20,000 volunteers of young people. AH: So ——"
95,"Two years before we couldn’t do that. But what happens is, look, there’s two ways generations get engaged. One by inspirational people like the John Kennedys of the world, and other by really bad presidents, and really bad things that are happening. This guy is engaging [people] everywhere I go. Everywhere I go, there’s more and more and more young people. Everywhere I go, I talk about the need for them to get engaged. "
96,"And by the way, I do as well with those millennials as anybody else does as a percentage. Bernie does the best. The old guy like me. He does the best, and I’m the only one that has support across the spectrum of every single element of the Democratic Party. So, I mean this idea I’m anti-millennial, I mean ——"
97,"Mr. Biden has tended to poll second to Senator Sanders among young voters. AH: Well, I didn’t say that, but ——"
99,"Well, the equivalent. I didn’t say you said it, but the implication is I don’t care much about it. I care like the devil about them. They are the future."
100,"KK: Since you just called yourself the old guy — Jimmy Carter has said that he wouldn’t be up for the job of the presidency at age 80. He’s obviously experienced the job, and lived the job. How do you respond to comments like that? Are you too old to be running for president?"
101,"Watch me. Watch me. All this stuff about lack of energy. Come get in the bus with me, 16 hours a day, 10 days in a row. Come see me. AH: Do you have an exercise routine? Every morning. AH: What is it?"
105,"I do three things. I bike, treadmill and I lift. I have the doctor who is the fellow — when you get to the White House, you get a medical doc who gets assigned to you and one of them was a colonel in the United States Army who, when I had a separated shoulder and I ended up having an operation — seven screws put in the shoulder to put it back together again, doing therapy. And he sends me — if I had my phone, I’d show you — he sends me every morning, every morning, an exercise routine, and I do it every morning. I’m not in bad shape. KK: Why haven’t you released any health records?"
107,"Oh, I am. I didn’t say I didn’t — I’ve always released my health records, and I was asked when I would do it. I had a chance, by the end of the week, you’ll have a detailed health record."
108,"On Dec. 17, Mr. Biden released an overview of his medical records that declared him fit for the presidency. The summary was provided by Kevin O’Connor, his physician, who serves as director of executive medicine at George Washington Medical Faculty Associates. KK: A complete set of health records? Yeah. KK: O.K. By the end of this week?"
112,Mr. Biden’s medical summary was released the day after his interview with The Times.
113,"Yes, because I got a chance to go down and see my doc and go through all the tests, and the whole deal. He’s about to release a record that lays out what I’ve had before or what I’ve gone through, the state of my health, and you’re going to be disappointed. I’m in really good health."
114,"The recent summary of Mr. Biden’s health was the most comprehensive since 49 pages of his medical records were released in 2008. The summary said he is a “healthy, vigorous” 77-year-old."
115,KK: We will not be disappointed. So how many push-ups can you do?
116,"I can do 44, but what I’m doing is that I pulled my bicep on the right. So I’m doing these — if you exercise, I’m doing closed-hand push-ups because outside is putting too much pressure on this one."
117,"KK: Do you want to show us? No, just kidding. [LAUGHTER] If you want me to. KK: Let’s do it."
120,Michelle Cottle: Yeah. O.K. Don’t ever do that in a room.
121,"Soon as I do that, you’ll write, Biden — anyway. [LAUGHTER]"
122,BS: You got some ringers in the crowd in case you can’t tell. KK: In case you wanted to —— MC: We’ve been practicing for days. JD: Ringers out here. MG: We’re ready.
127,"I don’t doubt it. I don’t doubt it. Look, I mean, let me put it this way. I’ve always been a pretty good athlete. I’ve stayed engaged. I work out regularly. The worst thing is that, those of you women and men who are athletes, you always think you can still do what you always did, which I keep thinking to myself. "
128,"I’ve adopted Satchel Paige’s attitude toward age. He pitched a win when he was 47 years old. He was pitching for the St. Louis team, and he’d beat the Cubs, and they come in and, Satch, amazing. Nobody’s ever pitched — on your birthday, 47 years old. You pitched a win. How do you feel about your age? He looked at them. He said, “That’s not how I look at age, boys.” They said, “How do you look?” He said, “Look at it this way. How old would you be if you didn’t know how old you were?” I’m 50."
129,"A quotation often attributed to the Major League Baseball pitcher Satchel Paige (though its veracity is questioned): “Age is a question of mind over matter. If you don’t mind, it don’t matter.”"
130,JW: Do you think it’s legitimate for voters to be concerned about people in their later 70s running for the highest office in the world?
131,"Sure, just like it’s legitimate for people to ask about whether you’re mature enough when you’re 35. I’m not joking. I mean, I went through the same thing when I was 29 years old. Well, wait a minute, are you old enough? And so, it’s totally legitimate."
132,Binyamin Appelbaum: So we have a 35-year-old limit. Should we have one at the top end too?
133,The Times Debatable newsletter recently considered a range of perspectives on whether the presidency should have an age limit. No. BA: Should there be a top? Why not?
136,"Because why would you? Show me where it’s been a problem. BA: Why 35 then? Thirty-five —— JW: Well, President Reagan ——"
140,"Well, look, guys. I think you guys are engaging in ageism here. Now look, all kidding aside, I don’t think they’re — the voters will be able to make a judgment. You’ll make a judgment whether or not you think I have all my cognitive capability, I’m physically capable, and I have the energy to do the job. And so."
141,"MC: So now your message is more you’re running on experience, a restoration of sanity, invocations of the Obama era. How do you convince younger voters that you are the person to help move the party into the future? So that’s a bit of a nostalgia thing."
142,"No. By the way, just so you know, my message isn’t that I’m going to return to the Obama era. My message is twofold. Number one, the next president of the United States, I think you’d all have to admit, is going to have to be able to do two things. [A PHONE PLACED BY A STAFFER TO RECORD THE INTERVIEW RINGS] What the hell is that? KK: You’re getting a call. Oh. BS: That’s your staff."
146,"I assume I may have — they told me they wanted this to be taped. But two things. One, I think we’d all agree, is going to inherit a divided nation. And secondly, is going to inherit a world in disarray. I think it’s fair to say, what’s fair to say or not. I believe that my experience in both those areas better equips me than anybody running in either party to deal with both those issues. "
147,"I have a record where I have gotten big things done. I’ve been able to work with the opposition. I’ve been able to work, not all the time, when I haven’t been able to have them join, I’ve gone out and beaten them, like we did in the 2018 election. What we just did recently in the off-year election."
148,"I went into 24 states, and I went into the red states, and I went into the purple states, and we won. Some of you suggested, when I said we’ll win back 41 seats, there goes Biden again. We won 41 seats because I was convinced that the American people understood finally what they didn’t understand before. They didn’t know what Obamacare was. They didn’t know Obama did it. They didn’t even know why they had it. They weren’t even sure, and all of a sudden, it starts getting taken away, they’re aware of it."
149,"During the 2018 campaign, Mr. Biden has said, he campaigned in 24 states, promoting the positive effects of Obamacare and other Democratic policies. In November 2018, CNN reported that Biden had traveled to roughly two dozen states to support 65 candidates in preceding months."
150,"But this is a different world inherited — when I’m president, I’m inheriting a different world than Barack inherited. But some of the things that were left on the table are the same kind of massive things that are going to have to be dealt with. For example, we’ve got a world in disarray. Who’s going to be able to stand on the stage the first day and command the respect of the world leaders? I think I’m the only one who has that experience. That experience matters a lot. "
151,"I’ll deal with different problems. My job will be not to go back to the old days, but be able to re-establish our alliances, keep the world from falling apart, keep NATO from disintegrating, etc. The same way, for example, climate change. You saw what happened this weekend? We didn’t show up. In fact, we tried to raise the ante. I’m one of the guys that put that climate change deal together, but it requires someone who the rest of the world’s going to respect when they ask them to come to the United States, a hundred of them, somewhere between 180 and 200 sit down and say, we have to up the ante now. The politics has changed in terms of what is actually happening in the environment."
152,"The Obama-Biden administration had a number of climate change triumphs, including negotiating the Paris climate accord and pushing through new auto emission standards. The weekend before Mr. Biden met with the editorial board, the annual United Nations climate change conference adjourned with no significant accomplishments."
153,KK: You’ve hinted a little bit that you’d be willing to only serve one term.
154,"Politico reported in December that Mr. Biden signaled to aides he would be willing to serve just a single term. I never hinted that. That is simply not true. BS: Where’d that come from? KK: Yeah, where does that come from?"
158,"I don’t know where it came from, but it did not — it came from somebody who in fact, I guess, thinks that they know me and thinks that maybe, I don’t know. KK: Who’s on your short list for vice president?"
160,"I’m not going to presume that because you’ll eat me alive on that. [LAUGHTER] But there’s a bunch of people that are qualified. I mean a whole group of people in addition to the ones that are running who aren’t running. I can think of, off the top of my head, five women who hold public office who would be completely qualified, who are not running for president. I can think of at least four African-Americans, and I — John Broder: Can you name them?"
162,"Yeah, I can, but I’m not going to because what you’ll do, Biden’s being presumptuous. I don’t have the nomination yet."
163,BA: Would you pick a running mate over the age of 70?
164,"Yeah, sure I would. No, what I’m going to have to do is to balance just like anybody balances. I’m going to make sure that whoever is picked as vice president, where I’m the nominee, everyone thinks is able to, if I drop dead tomorrow, would be able to take over. Look, the idea that somebody who is 60 can’t be diagnosed with stage-four glioblastoma is no different than the idea someone at 77 won’t be diagnosed with a terminal disease."
165,BA: But you mentioned your adherence to science before. You surely know that the odds increase with age.
166,"Yeah, they do. They do. But they don’t increase like they did. We’re in a situation where things are fundamentally different than they were 20 years ago."
167,"MC: One of the things you have to deal with in addition to just questions about basic age is as long as you’ve been in public life, you have baggage. That’s right."
169,"MC: And you’ve had in debates, a couple of times, you’ve had a little trouble answering for positions that you held decades ago, which I think is a bit ridiculous that that’s an issue. But those questions aren’t going to go away. So have you had time to figure out a strategy for just answering, kind of the basic approach to those?"
170,Some of the aspects of his record that Mr. Biden has struggled to speak to include his position on the Hyde Amendment limiting abortion funding and support for tough-on-crime legislation.
171,"The answer is yes. If you notice, they’ve hit me on every single thing I could be hit on so far. That’s the good news. Every aspect of my record, period, has been hit. By Trump and by the people I’m running against. And I’m a big boy. My dad used to have an expression. Never complain and never explain. And so, and guess what? I’m still leading in all the polls. O.K.? That’s number one. "
172,"Number two, if you take a look at what they call these debates, they’re not debates. They’re 30- to 45-second assertions. Because what comes to me all the time is the attack. I get to speak, but I get to speak in response to an attack."
173,"And one of the things that I have to admit to you, I’ve had difficulty accommodating, is how do you turn to someone who is attacking you on something that I know they know is not true, and do it in a way that doesn’t look like you’re being dismissive? Particularly if it’s a person of color or if it’s a woman. And so I’ve had to learn how to deal with that. I mean, look, you have a situation where when I was attacked on busing. It’s acknowledged now the woman who attacked me had this exact same position I had. Exact. No different. None."
174,There were fireworks when Mr. Biden and Kamala Harris clashed on busing and segregation during the June Democratic debate. Senator Harris recalled Mr. Biden’s opposition to school busing in the 1970s and shared her own history as “a little girl in California who was a part of the second class to integrate her public schools.” Mr. Biden said this was “a mischaracterization of my position across the board.” KK: You have always been known —— So what do I say?
177,"KK: You’ve been known as a great retail politician, but there have been some kind of odd moments on the campaign trail in the last few months. When you called the guy fat —"
178,"Mr. Biden made some awkward headlines when a video seemed to show him responding to a voter’s questions about Hunter Biden by saying, “But look, fat, look. Here’s the deal.”"
179,"I didn’t call him fat. That’s not true. I started to say fact was, and I decided to back off it. I did not call him fat. No. I honest to God didn’t."
180,"A senior adviser for the Biden campaign said in a tweet that Mr. Biden had been saying “facts,” not “fat.”  KK: We’ll check the tape on that. Check it."
183,"Tape checked. Mr. Biden deserves the benefit of the doubt, but he did call the man “a damn liar.”"
184,"KK: You know what? I’d really like to move on maybe to a couple of other issues if you don’t mind. Lauren, do you want to ——"
185,"Sure! No, I’d rather continue to talk about my age."
186,"Lauren Kelley: I have a different topic for you. Mr. Vice President, I’d love to ask you about reproductive rights. Yes."
188,LK: So I think it’s fair to say that this is a pretty extraordinary moment for reproductive rights. They’re more threatened than they probably have been since Roe v. Wade was passed.
189,"In 2019 Alabama passed one of the country’s most restrictive abortion bills and a number of states passed “heartbeat” bills, essentially outlawing all abortions. Many worry that the newly empowered conservative majority in the Supreme Court will hear a case that allows them to overturn Roe v. Wade. I agree."
191,"LK: There are a lot of people who question whether you will go on the offensive for reproductive rights as much as is going to be necessary with Roe v. Wade under threat, given the fact that, while you are pro-choice certainly, you switched your position on Hyde only just recently. For instance, you also originally argued for greater exemptions to the contraception mandate in Obamacare. So I think there’s some concern out there ——"
192,"The Hyde Amendment was first passed in 1976 and is renewed annually. It bans all federal funds for abortion except in cases of rape, incest and threats to the woman’s life. Mr. Biden supported it for decades until he reversed his position in June. No, I didn’t, by the way. LK: You didn’t? No, I was on the opposite side of that."
196,News reporting indicates that Mr. Biden was not on “the opposite side” of the contraception mandate debates. He reportedly argued that the contraception mandate would anger Catholic voters and threaten President Obama’s 2012 re-election. Read Bloomberg’s coverage of Mr. Biden’s stance at the time here.
197,"LK: There was a lot of reporting from the time that said that you were arguing — I think it was a political strategy, right? That it might be read as trampling on religious freedom. But that’s not correct?"
198,"No. What is not correct is the idea that — the argument was what the president put out initially was different than what ended up being finally the final position on. And the question was, would I defend the president? I don’t want to get into —— LK: O.K., how about we focus on Hyde then? But anyway. I can explain Hyde. LK: Please do."
202,"First of all, everybody’s voted for Hyde. Every single person running has voted ——"
203,"Many representatives have had to vote for the Hyde Amendment despite their opposition so as not to torpedo spending bills. Because it is attached to federal government funding bills, most candidates will have to vote for it until its repeal. LK: Well, because it’s in the spending bill."
205,"Well, I understand. I got it. But they all, this idea, this is such a principle thing."
206,"LK: Well, it’s principled. I mean, most of the party has been in favor of overturning Hyde."
